county,url,gis_src,results_src,name,updated
Alameda,https://acvote.alamedacountyca.gov/index,,,,2026-06-29
Alpine,https://www.alpinecountyca.gov/388/Election,,,Teola Tremayne,2026-06-29
Amador,https://www.amadorcounty.gov/government/elections,,,,2026-06-29
Butte,https://www.buttevotes.ca.gov/35/Elections,,,Keaton Denlay,2026-06-29
Calaveras,https://elections.calaverasgov.us/,,,Rebecca Turner,2026-06-29
Colusa,https://www.countyofcolusaca.gov/197/Elections,,,Cristy Jayne Edwards,2026-06-29
Contra Costa,https://www.contracostavote.gov/elections/,,,Kristin Connelly,2026-06-29
Del Norte,https://www.co.del-norte.ca.us/departments/elections,,,Alissia Northrup,2026-06-29
El Dorado,https://www.eldoradocounty.ca.gov/County-Government/Elections,,,,2026-06-29
Fresno,https://www.fresnocountyca.gov/Departments/County-ClerkRegistrar-of-Voters/Elections,,,James A. Kus,2026-06-29
Glenn,https://www.countyofglenn.net/government/departments/elections,,,Sendy Perez,2026-06-29
Humboldt,https://humboldtgov.org/890/Elections-Voter-Registration,,,Juan P. Cervantes,2026-06-29
Imperial,https://elections.imperialcounty.org/,,,,2026-06-29
Inyo,https://elections.inyocounty.us/,,,Danielle Sexton,2026-06-29
Kern,https://www.kernvote.com/,,,,2026-06-29
Kings,https://www.countyofkingsca.gov/departments/administration/elections,,,LUPE VILLA,2026-06-29
Lake,https://www.lakecountyca.gov/818/Registrar-of-Voters,,,,2026-06-29
Lassen,https://www.lassencounty.gov/194/Elections,,,Julie Bustamante,2026-06-29
Los Angeles,https://www.lavote.gov/home/voting-elections,,,Dean C. Logan,2026-06-29
Madera,https://votemadera.com/,,,,2026-06-29
Marin,https://www.marincounty.gov/departments/elections,,,,2026-06-29
Mariposa,https://www.mariposacounty.gov/87/Elections,,,Progner Morrow,2026-06-29
Mendocino,https://www.mendocinocounty.gov/government/assessor-county-clerk-recorder-elections,,,Katrina Bartolomie,2026-06-29
Merced,https://www.countyofmerced.com/3632/Elections,,,Melvin E. Levey,2026-06-29
Modoc,https://www.co.modoc.ca.us/departments/elections/,,,Stephanie Wellemeyer,2026-06-29
Mono,https://monocounty.ca.gov/elections,,,Queenie Barnard,2026-06-29
Monterey,https://www.countyofmonterey.gov/government/departments-a-h/elections/home,,,,2026-06-29
Napa,https://www.napacounty.gov/396/Elections,,,John Tuteur,2026-06-29
Nevada,https://www.nevadacountyca.gov/4148/Elections-Registrar-of-Voters,,,,2026-06-29
Orange,https://ocvote.gov/,,,,2026-06-29
Placer,https://www.placercountyelections.gov/,,,Ryan Ronco,2026-06-29
Plumas,https://www.plumascounty.us/142/Elections-Division-Home,,,Marcy DeMartile,2026-06-29
Riverside,https://voteinfo.net/,,,,2026-06-29
Sacramento,https://elections.saccounty.gov/,,,,2026-06-29
San Benito,https://www.sanbenitocounty-ca-cre.gov/elections,,,Francisco Diaz,2026-06-29
San Bernardino,https://elections.sbcounty.gov/,,,Joani Finwall,2026-06-29
San Diego,https://www.sdvote.com/,,,,2026-06-29
San Francisco,https://www.sf.gov/departments--department-elections,,,,2026-06-29
San Joaquin,https://www.sjgov.org/department/rov,,,Olivia Hale,2026-06-29
San Luis Obispo,https://www.slocounty.ca.gov/departments/clerk-recorder/elections-and-voting,,,Elaina Cano,2026-06-29
San Mateo,https://smcacre.gov/elections,,,Mark Church,2026-06-29
Santa Barbara,https://www.countyofsb.org/elections,,,Joseph E. Holland,2026-06-29
Santa Clara,https://vote.santaclaracounty.gov/home,,,,2026-06-29
Santa Cruz,https://lww.votescount.com/,,,,2026-06-29
Shasta,https://elections.shastacounty.gov/,,,Clint Curtis,2026-06-29
Sierra,https://www.sierracounty.ca.gov/214/Elections,,,Heather Foster,2026-06-29
Siskiyou,https://www.siskiyoucounty.gov/elections,,,Laura Bynum,2026-06-29
Solano,https://www.solanocounty.gov/government/registrar-voters,,,Tim Flanagan,2026-06-29
Sonoma,https://sonomacounty.gov/administrative-support-and-fiscal-services/registrar-of-voters/,,,,2026-06-29
Stanislaus,https://www.stanvote.gov/,,,Donna Linder,2026-06-29
Sutter,https://www.sutter.gov/government/county-departments/clerk-recorder/elections,,,Donna M. Johnston,2026-06-29
Tehama,https://www.tehama.gov/government/departments/elections,,,Sean Houghtby,2026-06-29
Trinity,https://www.trinitycounty.org/214/Elections,,,Madelyn Woodman,2026-06-29
Tulare,https://tularecounty.ca.gov/elections,,,,2026-06-29
Tuolumne,https://www.tuolumnecounty.ca.gov/194/Election-Information,,,Donald McNair,2026-06-29
Ventura,https://clerkrecorder.venturacounty.gov,,,Michelle Ascencion,2026-06-29
Yolo,https://ace.yolocounty.gov/,,,Jesse Salinas,2026-06-29
Yuba,https://www.yuba.gov/departments/elections/index.php,,,Donna Hillegass,2026-06-29
